epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12081.4,1.51496,1.54004,1.43468,0.48916,0.47029,0.46942,0.20481,1.95402,1.90002,1.7591,0.000990365,0.000990365,0.000990365
43,12341,1.52348,1.55788,1.43379,0.51172,0.44397,0.44855,0.20812,1.99146,1.9451,1.8095,0.000973861,0.000973861,0.000973861
44,12595.3,1.50725,1.51646,1.42529,0.52098,0.49341,0.47925,0.21667,1.9771,1.84791,1.82316,0.000957358,0.000957358,0.000957358
45,12857.9,1.48823,1.46778,1.40128,0.53224,0.48218,0.46205,0.20917,1.96423,1.87445,1.83922,0.000940855,0.000940855,0.000940855
46,13116.3,1.47349,1.46751,1.39992,0.55707,0.48776,0.49893,0.2254,1.90956,1.80222,1.81128,0.000924352,0.000924352,0.000924352
47,13367.7,1.4666,1.42293,1.41335,0.55733,0.52867,0.51674,0.24378,1.91315,1.67998,1.78161,0.000907848,0.000907848,0.000907848
48,13618.9,1.48389,1.45993,1.40247,0.58946,0.48394,0.49541,0.21856,1.9212,1.77161,1.76854,0.000891345,0.000891345,0.000891345
49,13873.1,1.44184,1.41182,1.38719,0.53731,0.52511,0.51926,0.24081,1.95784,1.826,1.79335,0.000874842,0.000874842,0.000874842
50,14126.8,1.44417,1.39838,1.36927,0.56722,0.47238,0.4903,0.21969,1.92065,1.83224,1.78597,0.000858338,0.000858338,0.000858338
51,14391.8,1.44379,1.39191,1.36413,0.57552,0.51185,0.51109,0.22779,1.95582,1.78034,1.77077,0.000841835,0.000841835,0.000841835
52,14650,1.44907,1.42575,1.38118,0.57307,0.51737,0.50413,0.2325,1.91917,1.7061,1.77609,0.000825332,0.000825332,0.000825332
53,14916.6,1.46281,1.3988,1.38386,0.55991,0.46889,0.49371,0.24093,1.9045,1.80921,1.77584,0.000808828,0.000808828,0.000808828
54,15212,1.42271,1.38584,1.37691,0.63001,0.47212,0.50484,0.24302,1.92495,1.83424,1.80568,0.000792325,0.000792325,0.000792325
55,15490.7,1.4322,1.37175,1.36625,0.58359,0.48321,0.51828,0.24497,1.89454,1.64853,1.7471,0.000775822,0.000775822,0.000775822
56,15761.4,1.41508,1.37069,1.36454,0.63512,0.44047,0.48883,0.23629,1.92419,1.84876,1.77675,0.000759318,0.000759318,0.000759318
57,16028,1.39668,1.30343,1.35948,0.51695,0.47547,0.45565,0.21181,1.89173,1.88723,1.78199,0.000742815,0.000742815,0.000742815
58,16295.9,1.41475,1.3333,1.34214,0.59411,0.50865,0.51787,0.24417,1.89641,1.69344,1.76076,0.000726312,0.000726312,0.000726312
59,16562.1,1.41773,1.36191,1.35351,0.61026,0.47311,0.52758,0.25315,1.94767,1.72464,1.75638,0.000709809,0.000709809,0.000709809
60,16827.3,1.35686,1.2804,1.34195,0.58483,0.52354,0.51865,0.25031,1.86656,1.69717,1.721,0.000693305,0.000693305,0.000693305
61,17098.8,1.38331,1.30982,1.35631,0.58574,0.49495,0.51775,0.23173,1.93176,1.74193,1.78544,0.000676802,0.000676802,0.000676802
62,17370.5,1.35191,1.27628,1.33303,0.59761,0.50654,0.51797,0.22941,1.98571,1.80095,1.85172,0.000660299,0.000660299,0.000660299
63,17632.7,1.37789,1.29044,1.32112,0.62887,0.52109,0.5436,0.26039,1.8872,1.69891,1.73625,0.000643795,0.000643795,0.000643795
64,17892.6,1.33212,1.24933,1.31198,0.5359,0.56762,0.54245,0.25412,1.91611,1.68801,1.78532,0.000627292,0.000627292,0.000627292
65,18174.9,1.33059,1.23361,1.31083,0.65476,0.508,0.54565,0.263,1.88151,1.63591,1.74379,0.000610789,0.000610789,0.000610789
66,18424.8,1.33613,1.25841,1.31646,0.62306,0.52637,0.52332,0.24705,1.91566,1.71485,1.76584,0.000594286,0.000594286,0.000594286
67,18672.8,1.32142,1.22793,1.31415,0.6146,0.53084,0.5315,0.25756,1.86672,1.72525,1.74676,0.000577782,0.000577782,0.000577782
68,18920.7,1.35712,1.22689,1.32699,0.65372,0.51224,0.54813,0.26571,1.85506,1.66606,1.72373,0.000561279,0.000561279,0.000561279
